"path_index","lambda_gamma","lambda_Omega","fixed_iters","updates_observed","updates_expected","fixed_iter_ok","oracle_loss_best100","oracle_loss_final100","solver_tol","oracle_case"
1,4.28601756969282,8.86040963730461,100,100,100,TRUE,138.086023084596,138.086023084596,1e-04,"case_oracle_change"
2,3.66654767904032,7.57979029781112,100,100,100,TRUE,138.086023084596,138.086023084596,1e-04,"case_oracle_change"
3,3.13661147302283,6.4842623886032,100,100,100,TRUE,137.555016243599,137.555016243599,1e-04,"case_oracle_change"
4,2.68326840230086,5.54707413691853,100,100,100,TRUE,136.310726991597,136.310726991597,1e-04,"case_oracle_change"
5,2.29544825067144,4.74534027718437,100,100,100,TRUE,134.237597235214,134.237597235214,1e-04,"case_oracle_change"
6,1.96368081068312,4.05948321411427,100,100,100,TRUE,131.372352578972,131.372352578972,1e-04,"case_oracle_change"
7,1.67986462997683,3.47275495603733,100,100,100,TRUE,127.86393153435,127.86393153435,1e-04,"case_oracle_change"
8,1.4370691813531,2.97082814451621,100,100,100,TRUE,123.902914247827,123.902914247827,1e-04,"case_oracle_change"
9,1.22936562574292,2.54144619357784,100,100,100,TRUE,119.641517969008,119.641517969008,1e-04,"case_oracle_change"
10,1.05168203547115,2.17412399528183,100,100,100,TRUE,115.188498704478,115.188498704478,1e-04,"case_oracle_change"
11,0.899679542499283,1.85989188313518,100,100,100,TRUE,110.627877172587,110.627877172587,1e-04,"case_oracle_change"
12,0.769646387302891,1.5910766011778,100,100,100,TRUE,106.034855315536,106.034855315537,1e-04,"case_oracle_change"
13,0.658407281155739,1.3611139302077,100,100,100,TRUE,101.468409625869,101.468409625869,1e-04,"case_oracle_change"
14,0.563245868531947,1.16438839565236,100,100,100,TRUE,96.9715579008797,96.9715579008798,1e-04,"case_oracle_change"
15,0.481838396230109,0.996096142901866,100,100,100,TRUE,92.5786640487623,92.5786640487626,1e-04,"case_oracle_change"
16,0.412196969481073,0.85212763164655,100,100,100,TRUE,88.3200035455361,88.3200035455364,1e-04,"case_oracle_change"
17,0.352621009406314,0.728967284724337,100,100,100,TRUE,84.211461383042,84.2114613830425,1e-04,"case_oracle_change"
18,0.301655726463164,0.623607640995718,100,100,100,TRUE,80.2622249257695,80.2622249257697,1e-04,"case_oracle_change"
19,0.258056595837054,0.533475915939497,100,100,100,TRUE,76.4798090041798,76.4798090041822,1e-04,"case_oracle_change"
20,0.220758967302882,0.456371176647336,100,100,100,TRUE,72.869383100222,72.8693831002231,1e-04,"case_oracle_change"
21,0.188852067456581,0.390410597088876,100,100,100,TRUE,69.4336824969524,69.4336824969552,1e-04,"case_oracle_change"
22,0.161556759475561,0.333983481251,100,100,100,TRUE,66.1772508804615,66.1772508804615,1e-04,"case_oracle_change"
23,0.138206517322057,0.285711931439055,100,100,100,TRUE,63.0970389033811,63.0970389033819,1e-04,"case_oracle_change"
24,0.118231149797118,0.244417201296511,100,100,100,TRUE,60.1890305046148,60.1890305046153,1e-04,"case_oracle_change"
25,0.101142877001776,0.209090911915109,100,100,100,TRUE,57.4365047535188,57.4365047535198,1e-04,"case_oracle_change"
26,0.0865244192055192,0.178870428159656,100,100,100,TRUE,54.8333128682103,54.8333128682126,1e-04,"case_oracle_change"
27,0.0740188072633227,0.153017793920229,100,100,100,TRUE,52.3770132223925,52.3770132223962,1e-04,"case_oracle_change"
28,0.0633206657610876,0.130901711910223,100,100,100,TRUE,50.063640563891,50.0636405638935,1e-04,"case_oracle_change"
29,0.054168756032011,0.111982127973692,100,100,100,TRUE,47.8917794130953,47.8917794130997,1e-04,"case_oracle_change"
30,0.0463395969512803,0.0957970434650741,100,100,100,TRUE,45.8574207627354,45.8574207627387,1e-04,"case_oracle_change"
31,0.03964200773483,0.0819512336719061,100,100,100,TRUE,43.9601958559895,43.9601958559918,1e-04,"case_oracle_change"
32,0.0339124394823833,0.0701065967948781,100,100,100,TRUE,42.1978760850327,42.1978760850353,1e-04,"case_oracle_change"
33,0.0290109814653977,0.059973897816312,100,100,100,TRUE,40.5672857708945,40.5672857708963,1e-04,"case_oracle_change"
34,0.0248179446371843,0.0513057056500027,100,100,100,TRUE,39.0657867364825,39.0657867364837,1e-04,"case_oracle_change"
35,0.021230938937691,0.0438903511041895,100,100,100,TRUE,37.6916726751733,37.6916726751754,1e-04,"case_oracle_change"
36,0.0181623730234537,0.0375467581167345,100,100,100,TRUE,36.4410378201541,36.4410378201572,1e-04,"case_oracle_change"
37,0.0155373153684439,0.0321200220460756,100,100,100,TRUE,35.3088757480083,35.3088757480098,1e-04,"case_oracle_change"
38,0.0132916645058849,0.0274776270439327,100,100,100,TRUE,34.2888648407843,34.2888648407848,1e-04,"case_oracle_change"
39,0.0113705837300447,0.0235062101415248,100,100,100,TRUE,33.3736597533412,33.3736597533441,1e-04,"case_oracle_change"
40,0.00972716203487634,0.0201087930312938,100,100,100,TRUE,32.5553180458709,32.5553180458725,1e-04,"case_oracle_change"
41,0.00832126859087539,0.0172024139468184,100,100,100,TRUE,31.8250971571585,31.8250971571644,1e-04,"case_oracle_change"
42,0.0071185727875427,0.0147161018136279,100,100,100,TRUE,31.1741225919883,31.1741225919908,1e-04,"case_oracle_change"
43,0.00608970591180167,0.0125891432015631,100,100,100,TRUE,30.5939357296993,30.5939357297055,1e-04,"case_oracle_change"
44,0.00520954399133618,0.0107695997592715,100,100,100,TRUE,30.0769556079623,30.0769556079649,1e-04,"case_oracle_change"
45,0.00445659429055048,0.00921303992796748,100,100,100,TRUE,29.6156574075072,29.6156574075113,1e-04,"case_oracle_change"
46,0.0038124704779531,0.00788145396408534,100,100,100,TRUE,29.2041206463,29.2041206463,1e-04,"case_oracle_change"
47,0.00326144364904004,0.00674232577668861,100,100,100,TRUE,28.8370229963568,28.8370229963602,1e-04,"case_oracle_change"
48,0.00279005824107379,0.00576783891476746,100,100,100,TRUE,28.5098403234642,28.5098403234673,1e-04,"case_oracle_change"
49,0.00238680346075426,0.00493419731537282,100,100,100,TRUE,28.218792564573,28.218792564577,1e-04,"case_oracle_change"
50,0.00204183220135076,0.00422104422588818,100,100,100,TRUE,27.9604259999214,27.9604259999258,1e-04,"case_oracle_change"
51,0.0017467205855129,0.00361096511106137,100,100,100,TRUE,27.7317134182616,27.7317134182663,1e-04,"case_oracle_change"
52,0.00149426226201944,0.00308906240624825,100,100,100,TRUE,27.5298961623263,27.5298961623296,1e-04,"case_oracle_change"
53,0.00127829243338299,0.00264259173273804,100,100,100,TRUE,27.3522600605022,27.352260060508,1e-04,"case_oracle_change"
54,0.00109353731722829,0.0022606506918767,100,100,100,TRUE,27.1962610320426,27.1962610320464,1e-04,"case_oracle_change"
55,0.000935485365430906,0.00193391263863052,100,100,100,TRUE,27.0595519478438,27.059551947845,1e-04,"case_oracle_change"
56,0.000800277096307539,0.00165439893358759,100,100,100,TRUE,26.9400199197881,26.9400199197912,1e-04,"case_oracle_change"
57,0.000684610849662435,0.00141528411200309,100,100,100,TRUE,26.8357285842618,26.8357285842648,1e-04,"case_oracle_change"
58,0.000585662163315752,0.00121072921229753,100,100,100,TRUE,26.744919155107,26.7449191551133,1e-04,"case_oracle_change"
59,0.000501014802363725,0.00103573919404487,100,100,100,TRUE,26.6660015694955,26.6660015694975,1e-04,"case_oracle_change"
60,0.000428601756969282,0.00088604096373046,100,100,100,TRUE,26.5975497304109,26.5975497304163,1e-04,"case_oracle_change"
